label,statement,subject,context,label_encoded,truthfulness_score,predicted_class,predicted_label,gate_decision
true,Building a wall on the U.S.-Mexico border will take literally years.,immigration,Radio interview,5,0.3539182,1,false,review
false,Wisconsin is on pace to double the number of layoffs this year.,jobs,a news conference,1,0.5640619,3,half-true,review
false,Says John McCain has done nothing to help the vets.,"military,veterans,voting-record",comments on ABC's This Week.,1,0.40251565,2,barely-true,review
pants-fire,"When asked by a reporter whether hes at the center of a criminal scheme to violate campaign laws, Gov. Scott Walker nodded yes.","campaign-finance,legal-issues,campaign-advertising",a web video,0,0.48650435,1,false,review
true,Says that Tennessee law requires that schools receive half of proceeds -- $31 million per year -- from a half-cent increase in the Shelby County sales tax.,"county-budget,county-government,education,taxes",in a post on Facebook.,5,0.64196867,5,true,review
barely-true,We know that more than half of Hillary Clintons meetings while she was secretary of state were given to major contributors to the Clinton Foundation.,foreign-policy,"comments on ""Meet the Press""",2,0.59051394,4,mostly-true,review
barely-true,We know there are more Democrats in Georgia than Republicans. We know that for a fact.,elections,an article,2,0.5042849,2,barely-true,review
false,"Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.","federal-budget,military,poverty",a meme on social media,1,0.6011388,4,mostly-true,review
half-true,On residency requirements for public workers,"city-government,county-government,unions",a letter,3,0.4179431,1,false,review
true,Says the unemployment rate for college graduates is 4.4 percent and over 10 percent for noncollege-educated.,"education,jobs",a speech,5,0.5961044,3,half-true,review
pants-fire,Unfortunately we have documented instances where people defecated in the (Statehouse) building.,"labor,state-budget",interviews with reporters,0,0.3886764,0,pants-fire,review
half-true,A recent Gallup poll found that 72 percent of Americans and 56 percent of Democrats say the biggest threat to our nations security is big government.,"government-efficiency,government-regulation,polls",a speech to the Freedom Summit in New Hampshire,3,0.57473445,3,half-true,review
true,"Each year, 18,000 people die in America because they don't have health care.",health-care,"a speech in Des Moines, Iowa.",5,0.6194918,4,mostly-true,review
false,Ronald Reagan faced an even worse recession than the current one.,"economy,history","her book, Going Rogue",1,0.35321468,1,false,review
mostly-true,There have not been any public safety issues in cities that allow transgender people to use the bathroom of the gender they identify as.,"crime,gays-and-lesbians,sexuality",a speech urging Charlotte's anti-discrimination ordinance be left intact,4,0.48415452,1,false,review
pants-fire,The number of illegal immigrants could be 3 million. It could be 30 million.,immigration,"a speech in Phoenix, Ariz.",0,0.64717436,4,mostly-true,review
