label,statement,subject,context,label_encoded,truthfulness_score,predicted_class,predicted_label,gate_decision
half-true,Suzanne Bonamici supports a plan that will cut choice for Medicare Advantage seniors.,"medicare,message-machine-2012,campaign-advertising",a radio show,3,0.25757962,0,pants-fire,reject
barely-true,"Says Vice President Joe Biden ""admits that the American people are being scammed"" with the economic stimulus package.","economy,stimulus",a press release.,2,0.23241292,0,pants-fire,reject
barely-true,PolitiFact Texas says Congressman Edwards attacks on Bill Flores are false.,"ethics,message-machine",a TV ad.,2,0.06960152,0,pants-fire,reject
pants-fire,Denali is the Kenyan word for black power.,environment,an image shared on Facebook,0,0.06787261,0,pants-fire,reject
true,"Contends that President Obama literally said (if) his cap-and-trade proposals were to pass, that utility rates, his words now, would, necessarily skyrocket.","climate-change,energy",MSNBC interview.,5,0.21083604,1,false,reject
false,"Under Rosemary Lehmberg, the Travis County D.A.s office convened the grand jury that indicted Rick Perry.","crime,criminal-justice",a commentary,1,0.31467634,2,barely-true,reject
half-true,"Says Thomas Jefferson said, You might be able to fool the people for awhile, and they may go astray, but sooner or later the American people are going to wake up and they will correct the course.","health-care,history",a video on Cain TV,3,0.30873418,0,pants-fire,reject
mostly-true,"In Massachusetts, Scott Brown pushed for a law to force women considering abortion -- force them -- to look at color photographs of developing fetuses.","abortion,legal-issues,women",an ad,4,0.34714776,2,barely-true,reject
true,"The Fed created $1.2 trillion out of nothing, gave it to banks, and some of them foreign banks, so that they could stabilize their operations.","economy,financial-regulation",a television interview,5,0.25470212,0,pants-fire,reject
half-true,"Greg Abbott activated the state guard to monitor Jade Helm 15 in case the troops try to impose martial law, disarm innocent Texans, and detain them in tunnels beneath closed Walmart stores.","military,states",the strip about Greg Abbott and the Jade Helm military exercise,3,0.17937899,0,pants-fire,reject
barely-true,Says Dick Cheney de-Baathisized the Iraqi government and created ISIS.,"foreign-policy,iraq,terrorism",a broadcast on MSNBC,2,0.22225764,0,pants-fire,reject
true,Says Bill and Hillary Clinton attended Donald Trumps last wedding.,candidates-biography,a radio interview,5,0.2075145,0,pants-fire,reject
false,Says Mark Neumann = Nancy Pelosi,"federal-budget,infrastructure,message-machine,transportation,voting-record",campaign TV and radio ads,1,0.17290668,0,pants-fire,reject
false,On banning earmarks.,federal-budget,Senate floor votes,1,0.3331303,1,false,reject
true,"Under Mayor Tom Barrett, the number of Milwaukee police officers has not increased.","city-budget,crime,job-accomplishments",an interview,5,0.30829313,2,barely-true,reject
pants-fire,"President Obama, Sen. Harry Reid and Rep. Nancy Pelosi passed a $1.2 trillion stimulus bill.",stimulus,,0,0.15077373,0,pants-fire,reject
true,"The words subhuman mongrel, which Ted Nugent called President Barack Obama, were used by the Nazis to justify the genocide of the Jewish community.",history,comments on CNN,5,0.06494506,0,pants-fire,reject
false,Birth control pioneer Margaret Sanger wasan active participant in the Ku Klux Klan.,abortion,a Facebook post,1,0.077754065,0,pants-fire,reject
half-true,Says President Obama and his National Labor Relations Board sued Boeing over its decision to open a plant in South Carolina.,"economy,jobs,market-regulation",a speech at the Republican convention,3,0.27309763,0,pants-fire,reject
false,U.S. Rep. Lloyd Doggett is the most liberal man in the United States Congress.,"bipartisanship,candidates-biography",a speech,1,0.13055214,0,pants-fire,reject
false,"Says state Senate President Stephen Sweeney gave us the nations highest income tax rates, driving out jobs.","income,jobs,message-machine-2012,taxes",a television ad posted on YouTube,1,0.24049452,0,pants-fire,reject
barely-true,"Neville Chamberlain told the British people: Accept the Nazis. Yes, they will dominate the continent of Europe, but that is not our problem. Lets appease them. Why? Because it cant be done. We cannot possibly stand against them.","health-care,history",speech advocating repeal of Obamacare law,2,0.15399559,0,pants-fire,reject
half-true,On running a civil and polite campaign.,"message-machine,campaign-advertising",a television interview,3,0.33575156,1,false,reject
pants-fire,"John Holdren, director of the White House Office of Science and Technology Policy, has proposed forcing abortions and putting sterilants in the drinking water to control population.","abortion,pundits",his TV program,0,0.31273144,0,pants-fire,reject
false,Many of the founding fathers were very actively involved in cockfighting.,"animals,history",a radio interview,1,0.115397155,0,pants-fire,reject
pants-fire,Says state Sen. Sheila Harsdorf wants to eliminate Medicare as we know it.,"medicare,retirement",a campaign flier,0,0.14926791,0,pants-fire,reject
barely-true,I did not I did not I do not say that. I do not say that climate change is a hoax perpetrated by the Chinese.,"candidates-biography,china,climate-change,economy,energy,environment,history,science",a presidential debate,2,0.093661256,0,pants-fire,reject
false,Virginia has made no progress on jobs since Bob McDonnell took office.,"jobs,message-machine-2012",a web video,1,0.2542209,0,pants-fire,reject
false,On whether global warming is man-made.,"climate-change,environment","Fairbanks, Alaska",1,0.3180995,1,false,reject
half-true,"When the union says I want to eliminate tenure, thats not true.","education,state-budget,unions",a speech at the Harvard Graduate School of Education,3,0.1792098,0,pants-fire,reject
pants-fire,"Says President Barack Obama told a room of students, Children, every time I clap my hands together, a child in America dies from gun violence, and then a child told him he could solve the problem by not clapping any more.",guns,a chain email,0,0.063333176,0,pants-fire,reject
pants-fire,NASA scientists fudged the numbers to make 1998 the hottest year to overstate the extent of global warming.,"climate-change,environment","a broadcast of ""Fox and Friends.""",0,0.2871741,1,false,reject
false,There is no record of congresswoman Betty Sutton ... ever holding a single in-person town hall meeting open to the general public.,job-accomplishments,a news release,1,0.059658892,0,pants-fire,reject
mostly-true,Says states mandated tests come from an English company.,education,in Texas House of Representatives debate,4,0.23318782,0,pants-fire,reject
barely-true,Says he got twice as much money from the sale of County Grounds land than Milwaukee County Executive Scott Walker was willing to accept.,job-accomplishments,an interview with a weekly newspaper,2,0.33456016,1,false,reject
false,On the Bush tax cuts.,taxes,flip-o-meter,1,0.32554924,1,false,reject
barely-true,The U.S. Constitution owes its notion of democracy to the Iroquois Tribes.,"diversity,history",a meme,2,0.15658553,0,pants-fire,reject
half-true,Barack Obama has provided guns to Mexican drug cartels.,"drugs,guns,legal-issues",a speech to the Republican Party of Texas convention in Fort Worth.,3,0.18019953,0,pants-fire,reject
pants-fire,"Says At age 76 when you most need it, you are not eligible for cancer treatment under Affordable Care Act.","health-care,medicare",a chain email,0,0.049131487,0,pants-fire,reject
barely-true,"If you look at the results of Obamacare, what you see is emergency room visits are up over 50 percent.",polls,"an interview on CNN's ""State of the Union""",2,0.34422147,1,false,reject
false,Loranne Ausley voted six times to tax your savings.,taxes,statements on the party's website.,1,0.2991313,1,false,reject
pants-fire,Four state Assembly Democrats scored a death blow to northeast Wisconsins economy by killing hundreds of jobs at a potential Bass Pro Shops near Green Bay.,"environment,jobs",a news release,0,0.23647386,0,pants-fire,reject
barely-true,"Barack Obama ""is more to the left of the announced Socialist in the United States Senate.""",candidates-biography,an interview with the <i>Kansas City Star</i>,2,0.106399305,0,pants-fire,reject
true,I said no to these big bank bailouts.,"economy,message-machine,voting-record",a TV ad,5,0.34907103,2,barely-true,reject
barely-true,"Says Congressman Jon Runyan does not want to cut taxes for the middle class, but only for millionaires.",taxes,a video posted on YouTube,2,0.20847103,0,pants-fire,reject
half-true,On his half pay pledge.,job-accomplishments,a series of public statements and actions,3,0.33429092,1,false,reject
