label,statement,subject,context,label_encoded,truthfulness_score,predicted_class,predicted_label,gate_decision
true,Over the past five years the federal government has paid out $601 million in retirement and disability benefits to deceased former federal employees.,"federal-budget,pensions,retirement",a campaign website,5,0.7453134,5,true,allow
true,Donald Trump is against marriage equality. He wants to go back.,"gays-and-lesbians,marriage",a speech at the Democratic National Convention,5,0.6952356,5,true,allow
half-true,Says Mitt Romney was one of the first national Republican leaders to endorse Marco Rubio.,elections,a prepared statement,3,0.68258566,5,true,allow
mostly-true,Marijuana is less toxic than alcohol.,"drugs,health-care,marijuana",a TV ad,4,0.67366624,5,true,allow
true,"Now, there was a time when someone like Scalia and Ginsburg got 95-plus votes.","sotomayor-nomination,supreme-court",a Senate hearing,5,0.7284536,5,true,allow
mostly-true,Active duty males in the military are twice as likely to develop prostate cancer than their civilian counterparts.,"health-care,military",a press release,4,0.71314776,4,mostly-true,allow
false,Its been since 1888 that a Senate of a different party than the president in the White House confirmed a Supreme Court nominee.,"congress,supreme-court",a talk show,1,0.8482013,5,true,allow
true,The United States has a low voter turnout rate.,elections,an interview.,5,0.6560772,4,mostly-true,allow
true,Texas families have kept more than $10 billion in their family budgets since we successfully fought to restore Texas sales tax deduction a decade ago.,"states,taxes",a press release,5,0.79721975,5,true,allow
mostly-true,"In 1993, Newt Gingrich first advocated for the individual mandate in health care. And as recently as May of this year, he was still advocating for it.",health-care,"a Republican presidential debate in Des Moines, Iowa",4,0.7722495,5,true,allow
half-true,"You said you would vote against the Patriot Act, then you came to the Senate, you voted for it.",terrorism,"a debate in Manchester, N.H.",3,0.71280146,5,true,allow
mostly-true,The federal minimum wage is worth about 20 percent less than it was when Ronald Reagan gave his first address to a joint session of Congress.,"economy,history,income,workers",the State of the Union address,4,0.747861,5,true,allow
mostly-true,"Already, a prototype driverless car has traveled more than 300,000 miles in the crowded maze of California streets without a single accident.","consumer-safety,public-safety,technology,transportation",a speech at CPAC,4,0.7052255,5,true,allow
half-true,"Last year, out of the 500,000 (in) population growth we had in the state of Texas, about 250,000 of the 500,000 came to Texas... from the other 49 states.","economy,immigration",his inaugural address.,3,0.7117932,4,mostly-true,allow
true,Twenty-five states have lower unemployment than Texas which is tied with Mississippi for more minimum-wage jobs than anywhere in the United States.,"job-accomplishments,jobs",an interview with ABC TV.,5,0.70697546,4,mostly-true,allow
half-true,"Of the 20 bills [Rep. David] Cicilline has sponsored in his three years in office, not a single one has advanced past the embryonic committee stage.","bipartisanship,congress,congressional-rules,job-accomplishments,voting-record",a Providence Journal commentary,3,0.65284693,5,true,allow
half-true,"Says Donald Trump has said he loves war, including with nukes.","candidates-biography,foreign-policy,military","an ad discussed on ""Meet the Press""",3,0.68557614,4,mostly-true,allow
mostly-true,"Every child born today inherits a $30,000 share in a national debt that stands at more than $13 trillion.",deficit,"his book, ""Courage to Stand: An American Story""",4,0.8070636,5,true,allow
true,Providence has the lowest crime rate in three decades.,"crime,job-accomplishments",a debate,5,0.72772527,4,mostly-true,allow
